path,case_id,family,expert_judgment,level,level_name,n_gaps,admissible,k,perm_m,C_mn,A_e,gap,sound,monotone_m,monotone_n
nonresolving,H05,held_out,REV,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H05,held_out,REV,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H05,held_out,REV,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H05,held_out,REV,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,H05,held_out,REV,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,S-REF,synthetic_ladder,REF,2,L2_population_scope,7,1,4,REF,0.0,0.0,0.0,1,1,1
nonresolving,S-REF,synthetic_ladder,REF,2,L2_population_scope,7,1,8,REF,0.0,0.0,0.0,1,1,1
nonresolving,S-REF,synthetic_ladder,REF,2,L2_population_scope,7,1,16,REF,0.0,0.0,0.0,1,1,1
nonresolving,S-REF,synthetic_ladder,REF,2,L2_population_scope,7,1,32,REF,0.0,0.0,0.0,1,1,1
nonresolving,S-REF,synthetic_ladder,REF,2,L2_population_scope,7,1,64,REF,0.0,0.0,0.0,1,1,1
nonresolving,S-DIA,synthetic_ladder,DIA,2,L2_population_scope,7,1,4,DIA,0.25,0.25,0.0,1,1,1
nonresolving,S-DIA,synthetic_ladder,DIA,2,L2_population_scope,7,1,8,DIA,0.25,0.25,0.0,1,1,1
nonresolving,S-DIA,synthetic_ladder,DIA,2,L2_population_scope,7,1,16,DIA,0.25,0.25,0.0,1,1,1
nonresolving,S-DIA,synthetic_ladder,DIA,2,L2_population_scope,7,1,32,DIA,0.25,0.25,0.0,1,1,1
nonresolving,S-DIA,synthetic_ladder,DIA,2,L2_population_scope,7,1,64,DIA,0.25,0.25,0.0,1,1,1
nonresolving,S-REV,synthetic_ladder,REV,2,L2_population_scope,7,1,4,REV,0.5,0.5,0.0,1,1,1
nonresolving,S-REV,synthetic_ladder,REV,2,L2_population_scope,7,1,8,REV,0.5,0.5,0.0,1,1,1
nonresolving,S-REV,synthetic_ladder,REV,2,L2_population_scope,7,1,16,REV,0.5,0.5,0.0,1,1,1
nonresolving,S-REV,synthetic_ladder,REV,2,L2_population_scope,7,1,32,REV,0.5,0.5,0.0,1,1,1
nonresolving,S-REV,synthetic_ladder,REV,2,L2_population_scope,7,1,64,REV,0.5,0.5,0.0,1,1,1
nonresolving,S-AEX,synthetic_ladder,AEX,2,L2_population_scope,7,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,S-AEX,synthetic_ladder,AEX,2,L2_population_scope,7,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,S-AEX,synthetic_ladder,AEX,2,L2_population_scope,7,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,S-AEX,synthetic_ladder,AEX,2,L2_population_scope,7,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,S-AEX,synthetic_ladder,AEX,2,L2_population_scope,7,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,S-ALR,synthetic_ladder,ALR,2,L2_population_scope,7,1,4,ALR,1.0,1.0,0.0,1,1,1
nonresolving,S-ALR,synthetic_ladder,ALR,2,L2_population_scope,7,1,8,ALR,1.0,1.0,0.0,1,1,1
nonresolving,S-ALR,synthetic_ladder,ALR,2,L2_population_scope,7,1,16,ALR,1.0,1.0,0.0,1,1,1
nonresolving,S-ALR,synthetic_ladder,ALR,2,L2_population_scope,7,1,32,ALR,1.0,1.0,0.0,1,1,1
nonresolving,S-ALR,synthetic_ladder,ALR,2,L2_population_scope,7,1,64,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-currency,active_witness,ALR,2,L2_population_scope,7,1,4,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-currency,active_witness,ALR,2,L2_population_scope,7,1,8,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-currency,active_witness,ALR,2,L2_population_scope,7,1,16,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-currency,active_witness,ALR,2,L2_population_scope,7,1,32,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-currency,active_witness,ALR,2,L2_population_scope,7,1,64,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-deployment,active_witness,ALR,2,L2_population_scope,7,1,4,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-deployment,active_witness,ALR,2,L2_population_scope,7,1,8,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-deployment,active_witness,ALR,2,L2_population_scope,7,1,16,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-deployment,active_witness,ALR,2,L2_population_scope,7,1,32,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-deployment,active_witness,ALR,2,L2_population_scope,7,1,64,ALR,1.0,1.0,0.0,1,1,1
nonresolving,W-population,active_witness,ALR,2,L2_population_scope,7,1,4,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-population,active_witness,ALR,2,L2_population_scope,7,1,8,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-population,active_witness,ALR,2,L2_population_scope,7,1,16,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-population,active_witness,ALR,2,L2_population_scope,7,1,32,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-population,active_witness,ALR,2,L2_population_scope,7,1,64,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,2,L2_population_scope,7,1,4,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,2,L2_population_scope,7,1,8,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,2,L2_population_scope,7,1,16,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,2,L2_population_scope,7,1,32,AEX,0.75,1.0,0.25,1,1,1
nonresolving,W-clinical,active_witness,ALR,2,L2_population_scope,7,1,64,AEX,0.75,1.0,0.25,1,1,1
nonresolving,M01,induction,ALR,1,L1_model_adequacy,8,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M01,induction,ALR,1,L1_model_adequacy,8,1,8,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M01,induction,ALR,1,L1_model_adequacy,8,1,16,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M01,induction,ALR,1,L1_model_adequacy,8,1,32,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M01,induction,ALR,1,L1_model_adequacy,8,1,64,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,1,L1_model_adequacy,8,1,4,AEX,0.75,0.75,0.0,1,1,1
nonresolving,M02,induction,REV,1,L1_model_adequacy,8,1,8,AEX,0.75,0.75,0.0,1,1,1
