L0_fiber,n_worlds_L0,level,enlarged_key,enlarged_fiber_size,p_hat_mean,A_e,honest_compiler,naive_coarse,cost_loss,DRO,Ae_monotone_along_ladder,manufactured_at_L3,cl_strengthens_L0_to_L3,dro_matches_Ae_at_L0,statuses
"(2.0, 'advective', 'hardy')",796,L1,"(2.0, 'advective', 'hardy')",1607,0.0015,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(2.0, 'advective', 'hardy')",796,L2,"(2.0, 'advective-hardy')",1607,0.0015,REV,ALR,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""closed""}"
"(2.0, 'advective', 'hardy')",796,L3,"(2.0,)",7906,0.0015,REV,REV,ALR,REV,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-7.0, 'advective', 'vulnerable')",185,L0,"(-7.0, 'advective', 'vulnerable')",185,0.9817,AEX,AEX,AEX,AEX,AEX,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-7.0, 'advective', 'vulnerable')",185,L1,"(-8.0, 'advective', 'vulnerable')",184,0.9934,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-7.0, 'advective', 'vulnerable')",185,L2,"(-8.0, 'advective-vulnerable')",184,0.9934,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-7.0, 'advective', 'vulnerable')",185,L3,"(-8.0,)",733,0.9938,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
"(-2.0, 'advective', 'vulnerable')",1717,L0,"(-2.0, 'advective', 'vulnerable')",1717,0.2046,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-2.0, 'advective', 'vulnerable')",1717,L1,"(-2.0, 'advective', 'vulnerable')",3456,0.2096,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-2.0, 'advective', 'vulnerable')",1717,L2,"(-2.0, 'advective-vulnerable')",3456,0.2096,REV,AEX,AEX,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded"", ""duration_gap"": ""closed"", ""vulnerability_gap"": ""open""}"
"(-2.0, 'advective', 'vulnerable')",1717,L3,"(-2.0,)",13871,0.2107,REV,REV,ALR,AEX,REV,1,1,1,1,"{""exceedance_gap"": ""bounded""}"
