fiber,t_min_bin,regime,pheno_band,n_worlds,p_hat,heterogeneity_std_L,c_over_l_bar,L_bar,A_e,cost_loss,DRO,pin_t_min,pin_L_real,pin_phenology,pin_regime,divergence_cl_acts_Ae_doesnt
"(-5.0, 'radiative', 'vulnerable')",-5.0,radiative,vulnerable,716,0.8221,0.2783,0.5,0.2,REV,AEX,REV,-1.8,0.0,budbreak,radiative,1
"(3.0, 'advective', 'hardy')",3.0,advective,hardy,424,0.0001,0.0009,0.05,2.0,REV,REV,REV,2.81,0.0,dormant,advective,0
"(3.0, 'advective', 'hardy')",3.0,advective,hardy,424,0.0001,0.0009,0.1,1.0,REV,REV,REV,2.81,0.0,dormant,advective,0
"(3.0, 'advective', 'hardy')",3.0,advective,hardy,424,0.0001,0.0009,0.2,0.5,REV,REV,REV,2.81,0.0,dormant,advective,0
"(3.0, 'advective', 'hardy')",3.0,advective,hardy,424,0.0001,0.0009,0.5,0.2,REV,REV,REV,2.81,0.0,dormant,advective,0
"(2.0, 'advective', 'vulnerable')",2.0,advective,vulnerable,978,0.0008,0.0059,0.05,2.0,REV,REV,REV,1.28,0.0,budbreak,advective,0
"(2.0, 'advective', 'vulnerable')",2.0,advective,vulnerable,978,0.0008,0.0059,0.1,1.0,REV,REV,REV,1.28,0.0,budbreak,advective,0
"(2.0, 'advective', 'vulnerable')",2.0,advective,vulnerable,978,0.0008,0.0059,0.2,0.5,REV,REV,REV,1.28,0.0,budbreak,advective,0
"(2.0, 'advective', 'vulnerable')",2.0,advective,vulnerable,978,0.0008,0.0059,0.5,0.2,REV,REV,REV,1.28,0.0,budbreak,advective,0
"(1.0, 'advective', 'hardy')",1.0,advective,hardy,1228,0.0052,0.0009,0.05,2.0,REV,REV,REV,0.77,0.0,swollen,advective,0
"(1.0, 'advective', 'hardy')",1.0,advective,hardy,1228,0.0052,0.0009,0.1,1.0,REV,REV,REV,0.77,0.0,swollen,advective,0
"(1.0, 'advective', 'hardy')",1.0,advective,hardy,1228,0.0052,0.0009,0.2,0.5,REV,REV,REV,0.77,0.0,swollen,advective,0
"(1.0, 'advective', 'hardy')",1.0,advective,hardy,1228,0.0052,0.0009,0.5,0.2,REV,REV,REV,0.77,0.0,swollen,advective,0
"(-3.0, 'advective', 'hardy')",-3.0,advective,hardy,1080,0.4064,0.0094,0.05,2.0,REV,AEX,REV,-3.87,0.0004,dormant,advective,1
"(-3.0, 'advective', 'hardy')",-3.0,advective,hardy,1080,0.4064,0.0094,0.1,1.0,REV,AEX,REV,-3.87,0.0004,dormant,advective,1
"(-3.0, 'advective', 'hardy')",-3.0,advective,hardy,1080,0.4064,0.0094,0.2,0.5,REV,AEX,REV,-3.87,0.0004,dormant,advective,1
"(-3.0, 'advective', 'hardy')",-3.0,advective,hardy,1080,0.4064,0.0094,0.5,0.2,REV,REV,REV,-3.87,0.0004,dormant,advective,0
"(3.0, 'radiative', 'vulnerable')",3.0,radiative,vulnerable,631,0.0001,0.0185,0.05,2.0,REV,REV,REV,-0.77,0.0,leaf_out,radiative,0
"(3.0, 'radiative', 'vulnerable')",3.0,radiative,vulnerable,631,0.0001,0.0185,0.1,1.0,REV,REV,REV,-0.77,0.0,leaf_out,radiative,0
"(3.0, 'radiative', 'vulnerable')",3.0,radiative,vulnerable,631,0.0001,0.0185,0.2,0.5,REV,REV,REV,-0.77,0.0,leaf_out,radiative,0
"(3.0, 'radiative', 'vulnerable')",3.0,radiative,vulnerable,631,0.0001,0.0185,0.5,0.2,REV,REV,REV,-0.77,0.0,leaf_out,radiative,0
